,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
94,Bansang,0,GM,2019-10-28 21:42:41,38,13.44,-14.66,294.55,1.46
95,Ofunato,75,JP,2019-10-28 21:42:41,77,39.11,141.75,288.15,3.1
96,Lasa,20,CY,2019-10-28 21:42:42,72,34.92,32.53,289.15,3.6
97,Caravelas,13,BR,2019-10-28 21:42:42,93,-17.73,-39.27,294.59,2.77
98,Yucca Valley,1,US,2019-10-28 21:42:42,17,34.12,-116.41,287.04,0.85
99,Bilibino,82,RU,2019-10-28 21:42:42,100,68.06,166.44,249.0,0.78
100,Lorengau,43,PG,2019-10-28 21:42:42,60,-2.02,147.27,302.68,0.13
101,Puerto Ayora,2,EC,2019-10-28 21:42:43,90,-0.74,-90.35,293.71,3.13
102,Mariental,100,BR,2019-10-28 21:42:43,88,-25.72,-49.65,291.48,1.0
103,Hilo,90,US,2019-10-28 21:42:43,65,19.71,-155.08,299.15,1.5
104,Ponta do Sol,98,BR,2019-10-28 21:42:43,93,-20.63,-46.0,291.53,0.5
105,Katsuura,90,JP,2019-10-28 21:42:44,93,33.93,134.5,290.37,3.1
106,Vestmanna,0,FO,2019-10-28 21:42:44,79,62.16,-7.17,277.15,0.5
107,Trairi,25,BR,2019-10-28 21:42:44,76,-3.28,-39.27,295.86,4.95
108,Simao,97,CN,2019-10-28 21:42:44,86,22.76,100.79,290.55,1.59
109,Bennettsville,90,US,2019-10-28 21:42:45,100,34.62,-79.68,293.15,1.5
110,Sitka,0,US,2019-10-28 21:42:45,87,37.17,-99.65,266.48,0.89
111,Flin Flon,100,CA,2019-10-28 21:41:10,86,54.77,-101.88,264.35,6.69
112,Port-Cartier,90,CA,2019-10-28 21:42:45,86,50.03,-66.88,278.15,2.1
113,Berlevag,75,NO,2019-10-28 21:42:45,63,70.86,29.09,273.15,9.3
114,Deputatskiy,86,RU,2019-10-28 21:42:46,96,69.3,139.9,251.13,0.69
115,Nikolskoye,90,RU,2019-10-28 21:42:46,97,59.7,30.79,273.15,0.41
116,Krasnoturansk,100,RU,2019-10-28 21:42:46,50,54.32,91.57,285.15,12.0
117,Gazanjyk,100,TM,2019-10-28 21:42:46,22,39.24,55.52,292.61,3.2
118,Ask,72,IR,2019-10-28 21:42:46,78,35.87,52.15,276.18,2.5
119,Gherghesti,75,RO,2019-10-28 21:42:46,93,46.5,27.52,282.15,3.6
120,Solnechnyy,100,RU,2019-10-28 21:42:47,69,50.72,136.64,277.12,1.14
121,Dondo,75,MZ,2019-10-28 21:42:47,74,-19.62,34.74,300.15,2.6
122,Saint-Augustin,20,CA,2019-10-28 21:42:47,100,45.63,-73.98,282.04,1.5
123,Jiazi,90,CN,2019-10-28 21:42:47,78,19.61,110.49,296.15,4.0
124,Srednekolymsk,93,RU,2019-10-28 21:42:47,84,67.46,153.71,257.04,3.44
125,Carnarvon,2,ZA,2019-10-28 21:42:48,45,-30.97,22.13,279.16,2.74
126,Raudeberg,40,NO,2019-10-28 21:42:48,65,61.99,5.14,278.15,3.6
127,Mackay,40,CA,2019-10-28 21:42:48,72,53.65,-115.58,263.15,4.1
128,Nanortalik,100,GL,2019-10-28 21:42:48,93,60.14,-45.24,276.6,3.44
129,Khani,75,GE,2019-10-28 21:42:49,93,41.96,42.96,283.15,1.5
130,Bud,91,NO,2019-10-28 21:42:49,93,62.91,6.91,278.15,1.0
131,Fomboni,11,KM,2019-10-28 21:42:49,80,-12.28,43.74,299.2,7.56
132,Bajram Curri,68,AL,2019-10-28 21:42:49,76,42.36,20.08,282.15,2.1
133,Atar,20,MR,2019-10-28 21:42:49,21,20.52,-13.05,298.47,2.75
134,Codrington,75,AU,2019-10-28 21:42:49,44,-28.95,153.24,301.15,5.7
135,Luang Prabang,75,LA,2019-10-28 21:42:50,65,19.89,102.14,301.15,3.1
136,Saint-Philippe,1,CA,2019-10-28 21:42:50,100,45.36,-73.48,282.59,2.1
137,Malanje,66,AO,2019-10-28 21:42:50,95,-9.54,16.35,291.76,2.93
138,Cabo San Lucas,5,MX,2019-10-28 21:42:37,68,22.89,-109.91,295.37,4.1
139,Bonthe,84,SL,2019-10-28 21:42:51,88,7.53,-12.5,297.93,1.47
140,Bubaque,0,GW,2019-10-28 21:42:51,83,11.28,-15.83,300.28,4.02
141,Castro,90,CL,2019-10-28 21:42:51,87,-42.48,-73.76,282.15,5.1
142,Rabo de Peixe,40,PT,2019-10-28 21:42:51,72,37.8,-25.58,293.15,8.7
143,Reconquista,0,AR,2019-10-28 21:42:51,95,-29.14,-59.64,296.34,3.2
144,Qaqortoq,100,GL,2019-10-28 21:42:52,74,60.72,-46.03,276.15,1.5
145,Morondava,45,MG,2019-10-28 21:42:52,39,-20.3,44.28,308.1,1.82
146,Nabire,90,ID,2019-10-28 21:42:52,70,-3.36,135.5,302.81,1.41
147,Coracora,100,PE,2019-10-28 21:42:52,44,-15.02,-73.78,283.46,1.01
148,San Patricio,78,PY,2019-10-28 21:42:52,53,-26.98,-56.83,300.76,3.45
149,Pandan,52,PH,2019-10-28 21:42:52,69,11.72,122.09,301.27,1.47
150,Sampit,100,ID,2019-10-28 21:42:53,43,-2.54,112.95,307.04,1.91
151,Varzea Grande,51,BR,2019-10-28 21:42:53,79,-29.42,-50.86,296.48,0.89
152,Leningradskiy,99,RU,2019-10-28 21:42:53,91,69.38,178.42,262.61,15.03
153,Souillac,90,FR,2019-10-28 21:42:53,100,45.6,-0.6,287.15,3.1
154,Altinopolis,100,BR,2019-10-28 21:42:53,73,-21.03,-47.37,297.15,0.5
155,Mugur-Aksy,97,RU,2019-10-28 21:42:54,81,50.38,90.44,270.95,4.08
156,Lata,0,IN,2019-10-28 21:42:54,33,30.78,78.62,279.57,3.43
157,Snezhnogorsk,75,RU,2019-10-28 21:42:54,92,69.19,33.23,265.15,1.0
158,Kysyl-Syr,53,RU,2019-10-28 21:42:54,85,63.9,122.77,265.15,3.07
159,Caborca,47,MX,2019-10-28 21:42:54,77,30.58,-111.1,284.26,0.41
160,Noumea,0,NC,2019-10-28 21:41:49,47,-22.28,166.46,300.15,7.7
161,Leshukonskoye,94,RU,2019-10-28 21:42:55,82,64.9,45.76,269.32,3.42
162,Severo-Kurilsk,67,RU,2019-10-28 21:42:55,93,50.68,156.12,275.01,4.24
163,Bluff,100,AU,2019-10-28 21:42:55,39,-23.58,149.07,301.57,8.81
164,Oranjemund,30,ZA,2019-10-28 21:42:55,49,-28.55,16.43,287.09,3.73
165,Longyearbyen,40,NO,2019-10-28 21:42:55,67,78.22,15.63,266.15,3.1
166,Chapais,90,CA,2019-10-28 21:42:55,93,49.78,-74.86,279.15,4.1
167,Oksfjord,90,NO,2019-10-28 21:42:56,92,70.24,22.35,272.15,13.9
168,Fukue,75,JP,2019-10-28 21:42:56,93,35.03,136.69,289.26,3.6
169,Lebu,42,ET,2019-10-28 21:42:56,57,8.96,38.73,288.95,1.13
170,Yatou,95,CM,2019-10-28 21:42:56,88,3.63,9.81,296.17,0.91
171,Mitsamiouli,73,KM,2019-10-28 21:42:57,75,-11.38,43.28,298.63,3.32
172,Minbu,0,MM,2019-10-28 21:42:57,57,20.18,94.88,304.95,2.34
173,Naze,82,NG,2019-10-28 21:42:57,92,5.43,7.07,295.87,0.8
174,Russell,1,US,2019-10-28 21:42:57,92,38.9,-98.86,266.48,1.5
175,Aklavik,90,CA,2019-10-28 21:42:57,79,68.22,-135.01,271.15,3.1
176,Carstairs,75,CA,2019-10-28 21:42:58,66,51.56,-114.1,264.26,7.7
177,Dikson,100,RU,2019-10-28 21:42:58,89,73.51,80.55,261.14,3.94
178,Sioux Lookout,90,CA,2019-10-28 21:42:58,58,50.1,-91.92,270.15,4.6
179,Sikasso,0,ML,2019-10-28 21:42:58,81,11.32,-5.68,295.99,1.54
180,Turukhansk,97,RU,2019-10-28 21:42:58,93,65.8,87.96,261.75,3.76
181,Tabira,11,BR,2019-10-28 21:42:58,91,-7.58,-37.54,290.57,5.47
182,Kalianget,20,ID,2019-10-28 21:42:59,49,-7.35,109.91,307.59,4.1
183,Mezen,95,RU,2019-10-28 21:42:59,79,65.85,44.24,269.0,4.98
184,Belmonte,58,PT,2019-10-28 21:42:59,96,40.36,-7.35,288.15,1.15
185,Jiayuguan,0,CN,2019-10-28 21:42:59,13,39.77,98.29,287.19,9.88
186,Palenque,100,MX,2019-10-28 21:42:59,94,17.51,-91.98,296.27,1.24
187,San Luis,12,AR,2019-10-28 21:43:00,53,-33.3,-66.34,290.28,8.14
188,Cockburn Town,72,TC,2019-10-28 21:43:00,80,21.46,-71.14,300.97,8.31
189,Jaynagar,26,IN,2019-10-28 21:43:00,54,26.59,86.14,301.07,2.28
190,Kyshtovka,47,RU,2019-10-28 21:43:00,73,56.56,76.62,275.08,8.63
191,Bredasdorp,4,ZA,2019-10-28 21:43:00,76,-34.53,20.04,285.93,5.1
192,Chuchkovo,0,RU,2019-10-28 21:43:01,80,54.27,41.45,275.79,0.31
193,Teknaf,3,BD,2019-10-28 21:43:01,46,20.86,92.31,306.69,1.4
194,Yerbogachen,74,RU,2019-10-28 21:43:01,83,61.28,108.01,266.94,2.86
195,Hede,0,SE,2019-10-28 21:43:01,74,60.45,15.49,274.15,4.6
196,Nandi,40,IN,2019-10-28 21:43:01,100,13.39,77.7,301.48,4.1
197,Okoneshnikovo,39,RU,2019-10-28 21:43:01,62,54.84,75.08,280.59,9.98
198,Hamilton,5,CA,2019-10-28 21:43:02,81,43.26,-79.87,282.15,2.1
199,Hovd,75,NO,2019-10-28 21:43:02,86,63.83,10.7,279.82,5.7
200,Nola,98,CF,2019-10-28 21:43:02,98,3.52,16.05,293.87,0.24
201,Aitape,100,PG,2019-10-28 21:43:02,66,-3.15,142.36,302.42,2.3
202,Marzuq,0,YE,2019-10-28 21:43:02,20,14.4,46.47,299.38,0.65
203,Grindavik,75,IS,2019-10-28 21:43:03,93,63.84,-22.43,280.15,6.2
204,Kamaishi,75,JP,2019-10-28 21:43:03,77,39.28,141.86,288.15,3.1
205,Gambo,100,CF,2019-10-28 21:43:03,93,4.65,22.26,295.12,0.4
206,Tautira,40,PF,2019-10-28 21:43:03,69,-17.73,-149.15,300.15,1.0
207,Ahipara,47,NZ,2019-10-28 21:43:03,80,-35.17,173.16,289.26,0.45
208,Keetmanshoop,0,NA,2019-10-28 21:43:04,44,-26.57,18.15,283.55,7.64
209,Kashan,0,IR,2019-10-28 21:43:04,100,33.99,51.44,284.15,1.0
210,Denpasar,20,ID,2019-10-28 21:43:04,58,-8.65,115.22,304.15,4.1
211,Ribeira Grande,43,PT,2019-10-28 21:43:04,77,38.52,-28.7,289.71,9.3
212,Pyatnitskoye,40,RU,2019-10-28 21:43:05,80,54.34,35.89,274.15,3.2
213,Hervey Bay,75,AU,2019-10-28 21:43:05,54,-25.3,152.85,299.82,8.2
214,Hobart,94,AU,2019-10-28 21:42:05,9,-42.88,147.33,300.15,11.3
215,San Policarpo,100,PH,2019-10-28 21:43:06,69,12.18,125.51,302.39,2.54
216,Semme,90,FR,2019-10-28 21:43:06,100,46.2,1.5,285.15,1.5
217,Ostrovnoy,97,RU,2019-10-28 21:43:06,86,68.05,39.51,268.07,2.98
218,Labuhan,100,ID,2019-10-28 21:43:06,41,-2.54,115.51,306.83,0.84
219,Hasaki,90,JP,2019-10-28 21:43:06,93,35.73,140.83,289.15,3.1
220,Dijkot,0,PK,2019-10-28 21:43:07,12,31.22,73.0,306.67,3.12
221,Dunedin,31,NZ,2019-10-28 21:43:07,71,-45.87,170.5,284.26,4.47
222,Busselton,100,AU,2019-10-28 21:43:07,31,-33.64,115.35,296.48,4.81
223,Necochea,52,AR,2019-10-28 21:43:07,95,-38.55,-58.74,283.15,1.79
224,Abeche,75,TD,2019-10-28 21:43:08,28,13.83,20.83,298.13,5.58
225,Saldanha,69,PT,2019-10-28 21:43:08,97,41.42,-6.55,284.62,0.88
226,Husavik,89,CA,2019-10-28 21:43:08,89,50.56,-96.99,271.48,1.79
227,Mahibadhoo,100,MV,2019-10-28 21:43:08,73,3.78,72.97,301.31,5.73
228,Teguldet,97,RU,2019-10-28 21:43:08,69,57.31,88.17,281.79,8.18
229,Progreso,90,UY,2019-10-28 21:43:08,100,-34.68,-56.22,290.37,6.2
230,Taltal,0,CL,2019-10-28 21:43:09,78,-25.41,-70.49,284.1,0.64
231,Guilin,0,CN,2019-10-28 21:43:09,53,25.28,110.29,296.15,2.0
232,Tazovskiy,87,RU,2019-10-28 21:43:09,96,67.47,78.7,257.23,4.68
233,Cairns,90,AU,2019-10-28 21:40:09,65,-16.92,145.77,300.15,2.1
234,Luckenwalde,75,DE,2019-10-28 21:43:09,100,52.09,13.16,279.26,1.0
235,Christiana,0,ZA,2019-10-28 21:43:10,28,-27.91,25.16,283.96,5.91
236,Rio Gallegos,90,AR,2019-10-28 21:43:10,80,-51.62,-69.22,277.15,3.1
237,West Wendover,90,US,2019-10-28 21:43:10,47,40.74,-114.07,275.15,7.2
238,Yamada,75,JP,2019-10-28 21:43:10,77,36.58,137.08,290.37,3.1
239,Matara,54,BI,2019-10-28 21:43:10,77,-3.48,29.48,292.5,0.45
240,Kahului,40,US,2019-10-28 21:42:02,61,20.89,-156.47,300.15,6.7
241,Pevek,100,RU,2019-10-28 21:43:11,93,69.7,170.27,256.12,2.62
242,Tigil,100,RU,2019-10-28 21:43:11,88,57.8,158.67,272.5,3.19
243,Portland,90,US,2019-10-28 21:38:41,93,43.66,-70.25,282.59,4.21
244,Taitung,40,TW,2019-10-28 21:43:11,62,22.76,121.15,302.15,5.1
245,Benjamin Aceval,85,PY,2019-10-28 21:43:11,58,-24.97,-57.57,302.15,5.7
246,Cayenne,74,GF,2019-10-28 21:43:11,94,4.94,-52.33,297.15,1.65
247,Hami,32,CN,2019-10-28 21:43:12,19,42.84,93.51,286.83,2.75
248,Olinda,5,AU,2019-10-28 21:43:12,17,-37.84,145.39,303.15,6.2
249,Mount Gambier,17,AU,2019-10-28 21:43:12,24,-37.83,140.78,300.15,10.8
250,Port Hardy,20,CA,2019-10-28 21:43:12,100,50.7,-127.42,274.15,2.1
251,Polyarnyy,75,RU,2019-10-28 21:43:12,92,69.2,33.45,265.15,1.0
252,Sainte-Anne-des-Monts,100,CA,2019-10-28 21:43:13,90,49.13,-66.49,276.16,2.95
253,Los Llanos de Aridane,37,ES,2019-10-28 21:43:13,64,28.66,-17.92,296.48,2.1
254,Immokalee,1,US,2019-10-28 21:43:13,88,26.42,-81.42,301.15,2.57
255,Ambovombe,4,MG,2019-10-28 21:43:13,25,-25.18,46.09,309.32,1.88
256,Iracoubo,40,GF,2019-10-28 21:43:13,79,5.48,-53.21,300.81,6.22
257,Ranfurly,86,CA,2019-10-28 21:43:14,84,53.41,-111.68,263.52,5.75
258,Ceres,46,BR,2019-10-28 21:43:14,86,-15.31,-49.6,292.91,1.68
259,Calama,1,CL,2019-10-28 21:43:14,29,-22.46,-68.93,285.37,8.7
260,Nhulunbuy,40,AU,2019-10-28 21:43:14,43,-12.18,136.78,305.15,7.2
261,Bambous Virieux,75,MU,2019-10-28 21:43:14,73,-20.34,57.76,298.71,3.1
262,Shingu,75,JP,2019-10-28 21:43:14,93,33.72,135.99,291.15,3.1
263,Mbekenyera,13,TZ,2019-10-28 21:43:15,51,-10.0,38.98,300.31,2.65
264,Yulara,0,AU,2019-10-28 21:43:15,7,-25.24,130.99,306.15,2.1
265,Saskylakh,0,RU,2019-10-28 21:43:15,98,71.97,114.09,253.71,2.87
266,Thompson,90,CA,2019-10-28 21:43:15,85,55.74,-97.86,265.15,5.1
267,Upernavik,100,GL,2019-10-28 21:43:16,95,72.79,-56.15,270.38,4.24
268,Ito,75,JP,2019-10-28 21:43:16,93,34.93,139.09,289.15,7.2
269,Rikitea,47,PF,2019-10-28 21:43:16,84,-23.12,-134.97,294.88,5.78
270,Vallenar,17,CL,2019-10-28 21:43:16,64,-28.58,-70.76,282.95,0.99
271,New Norfolk,38,AU,2019-10-28 21:43:16,9,-42.78,147.06,300.15,11.3
272,Mairana,62,BO,2019-10-28 21:43:17,98,-18.12,-63.96,289.03,1.16
273,Pisco,25,PE,2019-10-28 21:43:17,82,-13.71,-76.2,290.37,3.1
274,Atuona,12,PF,2019-10-28 21:43:17,76,-9.8,-139.03,299.88,7.02
275,Pacific Grove,1,US,2019-10-28 21:43:17,37,36.62,-121.92,286.48,2.1
276,Shubarshi,64,KZ,2019-10-28 21:43:17,27,48.59,57.19,286.8,5.8
277,La Rioja,0,AR,2019-10-28 21:39:24,76,-29.41,-66.86,290.63,0.5
278,Severodvinsk,40,RU,2019-10-28 21:43:18,100,64.56,39.82,267.15,2.0
279,Pimenta Bueno,51,BR,2019-10-28 21:43:18,85,-11.68,-61.19,295.32,0.75
280,Port Macquarie,0,AU,2019-10-28 21:43:18,50,-31.43,152.91,297.15,9.8
281,Port Elizabeth,90,US,2019-10-28 21:43:18,82,39.31,-74.98,288.71,1.17
282,East London,0,ZA,2019-10-28 21:43:19,45,-33.02,27.91,289.15,7.7
283,Acapulco,75,MX,2019-10-28 21:41:59,88,16.86,-99.88,300.15,2.6
284,Palana,100,RU,2019-10-28 21:43:19,71,59.08,159.95,273.28,1.89
285,Alta Floresta,30,BR,2019-10-28 21:43:19,94,-9.87,-56.08,294.1,0.57
286,Grand Gaube,75,MU,2019-10-28 21:43:19,73,-20.01,57.66,298.71,3.1
287,Northam,94,AU,2019-10-28 21:43:19,36,-31.65,116.67,298.15,7.2
288,Masallatah,92,LY,2019-10-28 21:43:20,59,32.62,14.0,292.38,4.13
289,Bonfim,100,BR,2019-10-28 21:43:20,92,-20.33,-44.24,290.4,0.15
290,Cidreira,60,BR,2019-10-28 21:43:20,77,-30.17,-50.22,296.46,5.28
291,Sosnovo-Ozerskoye,100,RU,2019-10-28 21:43:20,81,52.53,111.54,274.49,7.52
292,Kudahuvadhoo,45,MV,2019-10-28 21:43:20,69,2.67,72.89,301.4,1.59
293,Vardo,40,US,2019-10-28 21:43:21,87,39.62,-77.74,287.15,2.65
294,Linfen,0,CN,2019-10-28 21:43:21,19,36.09,111.52,292.5,2.51
295,Mahebourg,75,MU,2019-10-28 21:43:21,73,-20.41,57.7,298.71,3.1
296,Salmo,50,CA,2019-10-28 21:43:21,30,49.19,-117.28,272.59,1.79
297,Vizinga,64,RU,2019-10-28 21:43:21,87,61.08,50.08,267.54,2.92
298,Dvorichna,72,UA,2019-10-28 21:43:22,73,49.85,37.68,280.57,2.31
299,Yar-Sale,75,RU,2019-10-28 21:43:22,81,66.83,70.83,261.51,7.34
300,Nome,40,US,2019-10-28 21:43:22,93,30.04,-94.42,294.26,1.5
301,Maraba,25,BR,2019-10-28 21:43:22,88,-5.35,-49.1,299.15,1.0
302,Vanavara,92,RU,2019-10-28 21:43:22,96,60.35,102.28,271.89,1.77
303,Igarka,56,RU,2019-10-28 21:43:23,95,67.47,86.57,256.67,2.79
304,Sao Joao da Barra,0,BR,2019-10-28 21:43:23,86,-21.64,-41.05,296.93,8.46
305,San Angelo,90,US,2019-10-28 21:40:24,75,31.46,-100.44,281.48,5.7
306,Makakilo City,20,US,2019-10-28 21:41:57,69,21.35,-158.09,300.15,3.6
